t,Pmeas,Vmeas
9.72,-0.645,0.628
9.732,-0.659,0.529
9.744,-0.645,0.407
9.756,-0.591,0.26
9.768,-0.493,0.095
9.78,-0.356,-0.078
9.792,-0.19,-0.246
9.804,0.024,-0.398
9.816,0.244,-0.53
9.828,0.449,-0.634
9.84,0.601,-0.712
9.852,0.781,-0.766
9.864,0.923,-0.796
9.876,1.035,-0.804
9.888,1.113,-0.792
9.9,1.157,-0.76
9.912,1.172,-0.708
9.924,1.152,-0.634
9.936,1.099,-0.537
9.948,1.011,-0.416
9.96,0.908,-0.274
9.972,0.781,-0.115
9.984,0.64,0.052
9.996,0.493,0.216
10.008,0.342,0.369
10.02,0.249,0.5
10.032,0.103,0.608
10.044,-0.059,0.691
10.056,-0.171,0.75
10.068,-0.288,0.787
10.08,-0.396,0.803
10.092,-0.483,0.8
10.104,-0.552,0.777
10.116,-0.605,0.733
10.128,-0.635,0.67
10.14,-0.654,0.585
10.152,-0.654,0.475
10.164,-0.625,0.34
10.176,-0.547,0.184
10.188,-0.435,0.014
10.2,-0.283,-0.158
10.212,-0.098,-0.32
10.224,0.122,-0.462
10.236,0.352,-0.581
10.248,0.498,-0.674
10.26,0.684,-0.739
10.272,0.85,-0.782
10.284,0.981,-0.802
10.296,1.074,-0.801
10.308,1.143,-0.78
10.32,1.172,-0.739
10.332,1.167,-0.678
10.344,1.133,-0.594
10.356,1.06,-0.486
10.368,0.972,-0.355
10.38,0.85,-0.204
10.392,0.723,-0.041
10.404,0.576,0.126
10.416,0.42,0.287
10.428,0.288,0.43
10.44,0.171,0.551
10.452,0.034,0.648
10.464,-0.098,0.72
10.476,-0.225,0.769
10.488,-0.337,0.797
10.5,-0.435,0.804
10.512,-0.513,0.792
10.524,-0.576,0.76
10.536,-0.615,0.709
10.548,-0.645,0.635
10.56,-0.654,0.54
10.572,-0.649,0.419
10.584,-0.601,0.274
10.596,-0.508,0.112
10.608,-0.371,-0.061
10.62,-0.205,-0.229
10.632,0,-0.384
10.644,0.22,-0.516
10.656,0.435,-0.623
